OBJECTID,advisorySpeed,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,lat,lng

80,,0,,0,1,,North,2000/2001,SH 1N,MANUKAU OFF SBD,,Non-Injury Crash,Yes,2001,,South,,0,,Flat,,,,,,Overcast,0,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,100,,Off,0,0,,Auckland,Nil,,,,,1,0,Open,0,,,Fine,Null,-36.9870855821721,174.885385582685

160,,0,0,0,1,0,Null,2002/2003,SH 1N,ROWE ROAD,,Minor Crash,Yes,2002,0,North,0,0,0,Flat,0,,0,,0,Dark,1,0,0,3,0,0,0,0,0,,0,0,Manawatū-Whanganui Region,Nil,2-way,Sealed,0,0,0,0,100,0,On,0,0,,Manawatu District,Stop,0,1,0,0,0,0,Open,1,0,0,Heavy rain,Null,-40.2569761312752,175.388698343564

240,,0,,0,2,,Null,2000/2001,GOWING DRIVE,TIPENE PLACE,,Non-Injury Crash,No,2001,,West,,0,,Hill Road,,,,,,Bright sun,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null,-36.8668232122794,174.832943791477

320,,0,,0,2,,North,2001/2002,Z CPK PAKURANGA PLAZA,TI RAKAU DRIVE,,Non-Injury Crash,No,2001,,North,,0,,Flat,,,,,,Overcast,0,0,0,0,,,0,,,,,,Auckland Region,Nil,Off road,Sealed,,0,0,,30,,Off,0,0,,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null,-36.9142655328738,174.87132246419

400,,0,,0,2,,Null,2001/2002,GREAT SOUTH ROAD,SPARTAN ROAD,,Non-Injury Crash,No,2001,,South,,0,,Flat,,,,,,Bright sun,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,70,,Off,0,0,,Auckland,Stop,,,,,0,0,Urban,0,,,Fine,Null,-37.0365540622936,174.910431531066
